"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","14.0913602052188","14.7954668668418","15.3243321299639","17.0287270526528","19.3653165316532","20.7691086594174","21.125782798256","21.6646946301445","21.8286032167395","22.6491674600245","23.900132146605","24.4201562202324","","29.5328852616419","33.0939447226576","32.8386823451611","27.245277961069","25.7498316372344","24.6760996119017","23.1700197098567","21.6132499027822","23.6465642570633","22.4081000103316","22.0490942685938","21.7035521474502","20.7236671223513","20.6972094900401","19.7383583324863","19.2519648502074","22.0197198831414","22.3545871342818","20.3457145680686","20.3653109814678","19.4835432129653","19.6158041852821","23.3885724676112","18.677979711349","19.2092106356536","17.0738436412569","19.8423841059603","20.4233691124885","20.4935046056916","19.2940611633898","20.3838415449889","21.2668807581116","19.063657831824","19.5100615518268","20.4958911669927","19.8152022143119","21.8217740214301","25.0644829959531","23.192850783976","23.7996525676456","24.7352663376111","",
"Afghanistan","AFG","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","0.143790849673203","0.142857142857143","0.141935483870968","0.141025641025641","0.141025641025641","0.1914486279515","1.2748597654258","1.9122896481387","2.16284987277354","2.46505717916137","2.59493670886076","3.68015170670038","3.10998735777497","4.28571428571429","4.59974715549937","5.59241466498104","6.85537294563843","6.78495575221239","6.28811630847029","6.46346396965866","5.77888748419722","6.67294563843236","7.15297092288243","9.17825537294564","9.22402022756005","8.50568900126422","9.98988621997472","7.04551201011378","7.02907711757269","5.62579013906448","6.1441213653603","5.79013906447535","5.11247443762781","","","0.653851183470642","0.650618087182824","0.902410725796055","0.653338560041814","0.65078745281791","2.39489782636991","3.19439046626726","3.4785460627895","4.24377814738997","3.81478411274824","3.1908545034642","2.10126892481396","1.85168462920195","1.88786218401129","1.77785961760554","3.82700551918881","2.37785237483954","4.88271419396275","10.1661124694377","13.3244919510625","13.6801462026135","20.4525288998571","7.56134975622274","10.9739085772984","8.71449482692553","",
"Africa Western and Central","AFW","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","0.949617195119142","1.13746063318161","1.01311641509391","0.928655971746812","1.23944611361031","1.37772058965404","1.77718360071301","1.71288336258441","2.4186080069263","3.10763821375332","3.55015706806283","4.6625553614596","4.30390722177508","4.98420030059753","5.62459290555409","7.22294319524408","6.73028469035125","8.08476859424613","7.98919994557453","6.81216718824243","6.42220066392809","6.09345780206436","7.17547568710359","7.64608104465543","8.05229283990346","8.0854512539119","8.3745330227044","8.80311758725856","6.85733916802305","5.46299373641825","5.42161711032773","5.99991346700621","6.08356820847607","6.26607897382495","5.94489799847888","6.25708743658609","","6.63509547006324","6.52864333023348","6.76680532003863","8.74158537372471","5.69953156522725","6.19417445874426","6.67089285672514","10.384251546023","6.98415371954638","9.43596110282336","9.7604861008138","9.83250063955255","10.7718149083161","13.1625007322995","17.0593408283511","16.3718830393387","17.7073587225452","19.6093035641842","",
"Angola","AGO","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","0.374531835205993","0.37037037037037","0.514705882352941","0.763636363636364","1.44404332129964","1.85714285714286","2.36749116607774","2.65734265734266","3.62068965517241","3.89655172413793","8.62068965517241","7.68965517241379","7.37931034482759","5.20689655172414","1.41379310344828","0.724137931034483","10.8965517241379","8.10344827586207","4.72413793103448","5.79310344827586","4.17241379310345","1.72413793103448","2.96551724137931","2.41068965517241","7.0148275862069","4.13793103448276","3.55172413793103","5.48586206896552","8.13827586206897","3.27586206896552","2.33898305084746","3.03333333333333","2.66666666666667","3.33333333333333","2.66666666666667","2","0.666666666666667","1.13333333333333","1.13333333333333","0.466666666666667","","1.65903225806452","1.78878787878788","4.50151515151515","2.26060606060606","3.66","3.305","8.25882352941177","5.47225","8.43","11.983829787234","8.87604893617021","9.26395714285714","9.25938775510204","8.04833469387755","7.2412693877551","10.6746816326531","7.93009387755102","7.402","8.59888163265306","",
"Albania","ALB","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","14.587962962963","11.9266055045872","12.0454545454545","14.4469525959368","17.3913043478261","20","31.7622950819672","74","70.5882352941177","84.6449136276392","101.509433962264","102.962962962963","106.021897810219","114.721723518851","111.01243339254","125.217391304348","135.689655172414","171.355060034305","168.267581475129","160.17094017094","138.43537414966","179.966044142615","174.363327674024","159.592529711375","159.762308998302","163.497453310696","161.016949152542","163.559322033898","182.989690721649","176.165803108808","54.1522491349481","40.6574394463668","31.0051993067591","25.5979202772964","19.0641247833622","11.265164644714","8.99653979238754","43.3275563258232","18.370883882149","32.3529411764706","32.3529411764706","97.5847750865052","99.3195674740484","101.307335640138","112.37531598513","85.8024657534247","88.4199653979239","77.309737704918","90.3783579638752","85.02392971246","97.4342765273312","93.0615570990147","88.1710905849943","88.3858024691358","107.831246951715","126.138481379977","99.8085947712418","66.5850762088899","94.4393278688525","101.428185456971","",
"Andorra","AND","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","26.489707750953","26.9795713048095","28.4799295085177","30.9729177029791","32.0824553112229","35.0694479002516","39.3095720189721","42.8539973276918","43.8620954507026","47.2092810589296","53.5216512040954","58.4320988060425","66.1870450682125","72.4039746927244","73.5053910158654","72.8550360673257","69.08888640191","70.6380002208887","66.0505526775651","66.1201075141831","72.4110628975314","66.1845622991162","68.5960283399782","70.888462681873","72.8620954135636","75.6002430201838","79.1796442485134","82.3402145686331","89.9231119762514","93.9322745877491","79.3825633549541","88.7828143458798","88.6521484602437","90.5087755443326","85.3298593903533","84.3460892574324","80.0497651817903","77.165165711773","83.6388919293386","53.2921886674628","54.8360899306851","52.2750590461952","55.0139324320695","53.0849413387251","58.0340582803277","56.7039547225323","56.8790912215781","55.596686890477","",
"United Arab Emirates","ARE","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","79.5714285714286","66.25","79.8888888888889","81.8181818181818","100","75","126.166666666667","291.666666666667","190.875","192.368421052632","211.611111111111","199.782608695652","113.958333333333","143.346153846154","49.6551724137931","107.586206896552","186.206896551724","417.931034482759","357.142857142857","499.142857142857","586.842105263158","692.5","700","744.186046511628","700","717.777777777778","983.333333333333","841.860465116279","585","492.957746478873","644.8","755.625","767.619047619048","667.058823529412","834.387351778656","940.582959641256","798.643410852713","623.046092184369","737.351778656126","900","848.247978436658","1033.86666666667","629.156590909091","714.927210884354","708.500898876404","708.500898876404","745.349645390071","631.829458917836","643.434489795918","",
"Argentina","ARG","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","0.873312899930096","0.662721584984359","1.07551020408163","1.475","1.97937539709692","2.43280266567938","3.06432120316906","2.83702989392478","3.3179296826125","3.61100277973696","3.18213710842379","3.53931430917676","3.40031044483477","3.05197707969277","2.43803824849391","3.14690856430267","2.97398439063438","4.26406754012186","5.15441613503982","4.55655876670741","3.78496606379222","4.1655280109311","4.6035507556039","6.12749835697994","6.25553033509022","5.78674528121291","6.39740903029148","6.16300678878902","5.78390630902909","6.22765757290687","6.27061469265367","9.26638043681165","10.9297136481964","17.1123786947181","19.3580520199225","31.4273114802293","29.6339677891654","28.2771194165907","29.9106494261223","31.2222503617945","31.0672168961292","30.2339386978681","40.2407788602732","43.8564023853257","35.4391328022349","40.5634230309843","48.5216939886278","34.8441055889641","22.8523631007779","39.1580160565849","41.884276338783","34.6406749632157","36.2523450609652","36.2688012786641","29.1442890201455","45.6267663747117","48.7997681323176","57.9442277448573","63.6149617465543","71.0076950678493","",
