"","Country.Name","Year","Value"
"1","France",1960,1334.68951190446
"2","France",1961,1428.04600063164
"3","France",1962,1578.28453778015
"4","France",1963,1744.64012289392
"5","France",1964,1909.54162026244
"6","France",1965,2038.16310215841
"7","France",1966,2186.4745917492
"8","France",1967,2343.10450260677
"9","France",1968,2536.08511406552
"10","France",1969,2752.09511423516
"11","France",1970,2857.25168156016
"12","France",1971,3169.03632305625
"13","France",1972,3854.55583517781
"14","France",1973,4969.76297758856
"15","France",1974,5328.24154765623
"16","France",1975,6690.57827024394
"17","France",1976,6866.81689245868
"18","France",1977,7532.52696003268
"19","France",1978,9264.77529285999
"20","France",1979,11179.6329016234
"21","France",1980,12713.3651661352
"22","France",1981,11104.9813384681
"23","France",1982,10496.9285544307
"24","France",1983,9993.42118219846
"25","France",1984,9419.69614346785
"26","France",1985,9763.32740402965
"27","France",1986,13540.2463694725
"28","France",1987,16302.4473755662
"29","France",1988,17679.996689009
"30","France",1989,17694.3093242315
"31","France",1990,21793.8355375183
"32","France",1991,21675.0649888267
"33","France",1992,23813.7122463577
"34","France",1993,22380.1077483221
"35","France",1994,23496.5201538685
"36","France",1995,26890.2176223614
"37","France",1996,26871.8312674776
"38","France",1997,24228.9463914211
"39","France",1998,24974.2738587988
"40","France",1999,24681.5370135257
"41","France",2000,22419.6948211313
"42","France",2001,22452.9823753273
"43","France",2002,24292.5802304835
"44","France",2003,29633.6789794897
"45","France",2004,33803.3095951203
"46","France",2005,34773.1501479027
"47","France",2006,36474.1595859967
"48","France",2007,41561.2005095485
"49","France",2008,45519.2968812949
"50","France",2009,41740.2430343475
"51","France",2010,40677.9851405443
"52","France",2011,43848.106054888
"53","France",2012,40872.3624615688
"54","France",2013,42605.0443782179
"55","France",2014,43068.5487241739
"56","France",2015,36652.9223052178
"57","France",2016,37062.5335723829
"58","France",2017,38781.0494870836
"59","France",2018,41592.795896432
"60","France",2019,40578.6442850534
"61","France",2020,39037.1226309074
"62","France",2021,43518.5385130851
"63","India",1960,82.1886027403956
"64","India",1961,85.3543009890781
"65","India",1962,89.8817564934251
"66","India",1963,101.126429449199
"67","India",1964,115.537496075013
"68","India",1965,119.318916257524
"69","India",1966,89.9973043744548
"70","India",1967,96.3391364648698
"71","India",1968,99.8759627217279
"72","India",1969,107.622318424224
"73","India",1970,112.434492478014
"74","India",1971,118.603241476409
"75","India",1972,122.98186411094
"76","India",1973,143.778687612856
"77","India",1974,163.478112500578
"78","India",1975,158.03617100303
"79","India",1976,161.09209223777
"80","India",1977,186.213504181997
"81","India",1978,205.693383320713
"82","India",1979,224.001018808944
"83","India",1980,266.577850783745
"84","India",1981,270.470600922861
"85","India",1982,274.111333670706
"86","India",1983,291.23811013314
"87","India",1984,276.66795828659
"88","India",1985,296.435150038855
"89","India",1986,310.465932758635
